full_name,neo,pha,H,diameter,rot_per,e,a,q,i,ad,moid,moid_jup,producer,data_arc,first_obs,last_obs
"   107 Camilla",N,N,7.1,254,4.844,.06537689627301911,3.491538547280843,3.263272593842015,9.999894828042917,3.71980450071967,2.29158,1.35217,"Otto Matic",55153,1868-12-05,2019-12-07
"   157 Dejanira",N,N,11.1,19.959,15.825,.1967756224363141,2.580689558958024,2.072872764679162,12.16235349871886,3.088506353236887,1.10915,2.15806,"Otto Matic",42018,1904-11-13,2019-11-28
"   281 Lucretia",N,N,12.0,11.036,4.348,.1326752701693698,2.187358802943897,1.897150382805966,5.303962169247142,2.477567223081828,.906903,2.87671,"Otto Matic",47140,1890-04-16,2019-05-10
"   336 Lacadiera (1892 D)",N,N,9.8,67.513,13.70,.09549100265116645,2.251446035709403,2.036453196344518,5.653639987418186,2.466438875074287,1.0228,2.58439,"Otto Matic",46254,1892-09-20,2019-05-12
"   340 Eduarda (1892 H)",N,N,9.90,28.025,8.0062,.115893692099805,2.746377321906858,2.428089514171897,4.667974622826059,3.064665129641818,1.44447,2.20793,"Otto Matic",46457,1892-09-25,2019-12-06
"   481 Emita (1902 HP)",N,N,8.9,121.552,14.412,.157416403409003,2.740513599615526,2.309111805270589,9.844594918052552,3.171915393960462,1.32166,2.17681,"Otto Matic",43032,1902-02-12,2019-12-07
"  1050 Meta (1925 RC)",N,N,12.2,8.773,6.142,.177505572347774,2.624874659574174,2.158944780785292,12.49718412906675,3.090804538363056,1.20077,2.45554,"Otto Matic",40609,1908-10-01,2019-12-07
"  1219 Britta (1932 CJ)",N,N,11.7,9.860,5.575,.1244453016021832,2.212896839524221,1.937512224915112,4.411108092973755,2.488281454133331,.951706,2.77293,"Otto Matic",42081,1904-09-20,2019-12-07
"  1248 Jugurtha (1932 RO)",N,N,9.9,28.468,12.910,.01655920146432871,2.721977876056313,2.67690409602525,9.138657946822851,2.767051656087375,1.69157,2.30598,"Otto Matic",43121,1901-11-12,2019-12-04
"  1281 Jeanne (1933 QJ)",N,N,11.5,25.716,15.18,.2083516372019684,2.556133566180868,2.023558952760178,7.445757974261995,3.088708179601558,1.02192,2.09793,"Otto Matic",42156,1904-07-07,2019-12-07
"  1293 Sonja (1933 SO)",N,N,13.5,7.80,2.878,.2752762665089319,2.227816507999703,1.614551497210579,5.363812063731189,2.841081518788827,.61558,2.57945,"Otto Matic",31440,1933-09-26,2019-10-25
"  1374 Isora (1935 UA)",N,N,13.3,,36.699,.2777144547038333,2.251519243971531,1.626239804876791,5.294295450473967,2.876798683066272,.630956,2.60692,"Otto Matic",30725,1935-10-21,2019-12-04
"  1485 Isa (1938 OB)",N,N,11.8,17.336,,.1154715054713998,3.026586424609376,2.67710193372043,8.92319069207907,3.376070915498322,1.67731,2.01284,"Otto Matic",31488,1933-09-21,2019-12-07
"  1596 Itzigsohn (1951 EV)",N,N,10.7,45.534,39.722,.1303973620759968,2.889564974794152,2.5127733245338,13.28254041351917,3.266356625054504,1.52757,2.095,"Otto Matic",31075,1934-11-07,2019-12-06
"  1648 Shajna (1935 RF)",N,N,12.1,9.450,6.4156,.2063718686157966,2.235611963381886,1.774244544998937,4.572261015918074,2.696979381764836,.761623,2.39472,"Otto Matic",36043,1921-04-01,2019-12-06
"  1663 van den Bos (1926 PE)",N,N,11.9,13.537,740.,.1803531763041095,2.239270319856605,1.835410805066947,5.361998686868205,2.643129834646263,.840339,2.81115,"Otto Matic",33412,1928-02-24,2019-08-17
"  1813 Imhotep (7589 P-L)",N,N,12.0,19.099,17.994,.07909485338897196,2.683974528041285,2.471685956246124,8.086862739509437,2.896263099836446,1.46916,2.06202,"Otto Matic",21600,1960-10-17,2019-12-07
"  1819 Laputa (1948 PC)",N,N,10.4,54.165,9.8004,.2283076547828648,3.134271239933993,2.418693123691281,23.90783749612248,3.849849356176704,1.40689,1.42768,"Otto Matic",32968,1929-02-03,2019-05-10
"  1848 Delvaux (1933 QD)",N,N,11.0,17.030,3.637,.04599898848592095,2.869985718148755,2.737969278144873,1.440930539045924,3.002002158152637,1.72121,2.07181,"Otto Matic",31407,1933-08-18,2019-08-14
"  1944 Gunter (1925 RA)",N,N,13.8,4.905,,.2364357247120462,2.239989294729061,1.71037580248257,5.48809974857642,2.769602786975551,.708019,2.6453,"Otto Matic",34415,1925-09-14,2019-12-05
"  2059 Baboquivari (1963 UA)",Y,N,16.0,,,.530836777718558,2.644280495734853,1.240599157994932,11.01359525539756,4.047961833474773,.248257,1.39824,"Otto Matic",20550,1963-10-16,2020-01-20
"  2072 Kosmodemyanskaya (1973 QE2)",N,N,12.7,4.843,4.4,.1642716503421735,2.449356279151156,2.04699648089903,4.736387993217964,2.851716077403282,1.06248,2.46532,"Otto Matic",23276,1956-03-16,2019-12-07
"  2150 Nyctimene (1977 TA)",N,N,13.2,6.059,6.131,.05718701810463477,1.913273618428823,1.803859205372614,25.31858148277352,2.022688031485032,.844919,3.10578,"Otto Matic",18324,1969-10-06,2019-12-07
"  2209 Tianjin (1978 US1)",N,N,11.1,16.786,9.47,.06702781068102673,2.845292442908719,2.654578719713278,2.612913487431648,3.036006166104161,1.66638,2.20784,"Otto Matic",28283,1942-03-11,2019-08-17
"  2221 Chilton (1976 QC)",N,N,13.0,,7.445,.1372730378694709,2.592126352535197,2.236297293581179,13.79207216020292,2.947955411489214,1.27354,2.41301,"Otto Matic",15809,1976-08-25,2019-12-07
"  2446 Lunacharsky (1971 TS2)",N,N,13.0,12.954,3.613,.1612916641531236,2.354927564066101,1.975097378297818,3.310940493365684,2.734757749834384,.961447,2.37547,"Otto Matic",24143,1953-10-31,2019-12-07
"  2532 Sutton (1980 TU5)",N,N,13.0,6.979,51.362,.1720430626375336,2.372050549223967,1.963955708004432,4.33900752456494,2.780145390443502,.957907,2.64812,"Otto Matic",24132,1953-04-15,2019-05-11
"  2787 Tovarishch (1978 RC6)",N,N,11.4,19.707,,.05784611531642676,3.02091283976337,2.846164767273544,10.30810003195129,3.195660912253196,1.88097,1.94955,"Otto Matic",22656,1957-10-20,2019-10-31
"  2870 Haupt (1981 LD)",N,N,12.9,14.930,274.,.2098992993149376,2.392208025788206,1.890085237359691,4.16047392373268,2.89433081421672,.893179,2.56952,"Otto Matic",22001,1959-09-03,2019-11-28
"  2947 Kippenhahn (1955 QP1)",N,N,12.7,7.588,10.430,.12520750229202,2.307768929930365,2.018818946346657,3.136328223788886,2.596718913514074,1.03558,2.56799,"Otto Matic",28006,1943-04-04,2019-12-07
"  3135 Lauer (1981 EC9)",N,N,13.8,,,.1393765287610051,2.420304107983943,2.08297052286714,5.980839308912106,2.757637693100746,1.10398,2.53464,"Otto Matic",14915,1978-07-09,2019-05-10
"  3331 Kvistaberg (1979 QS)",N,N,13.4,,,.08729901363072412,2.419457622300286,2.208241358352134,3.566315550480688,2.630673886248438,1.22726,2.43839,"Otto Matic",17017,1972-10-06,2019-05-10
"  3471 Amelin (1977 QK2)",N,N,11.5,27.406,,.05186004038790312,3.192465567501273,3.026904174233667,15.38703370618132,3.358026960768879,2.04382,1.65975,"Otto Matic",22512,1958-04-19,2019-12-07
"  3543 Ningbo (1964 VA3)",N,N,11.9,21.677,,.1719610876898911,3.181127436003534,2.634097302028211,1.046123385660771,3.728157569978856,1.61759,1.38522,"Otto Matic",24447,1952-11-16,2019-10-23
"  3589 Loyola (1984 AB1)",N,N,13.7,4.282,,.1634238504926692,2.24607666091932,1.879014164490167,4.465786947705842,2.613139157348472,.89182,2.79697,"Otto Matic",18098,1969-10-17,2019-05-06
"  3681 Boyan (1974 QO2)",N,N,13.4,4.656,,.1840754840172392,2.229753321931312,1.819310399957759,4.064832966960005,2.640196243904865,.80359,2.5968,"Otto Matic",26474,1947-06-14,2019-12-07
"  4017 Disneya (1980 DL5)",N,N,13.0,,,.09805652227806792,2.58596607514167,2.332395235084213,3.018310707768625,2.839536915199127,1.32546,2.51269,"Otto Matic",25571,1949-11-25,2019-11-29
"  4076 Dorffel (1982 UF4)",N,N,12.2,8.968,,.07031451557378027,2.851980984761887,2.651445323392722,1.354060613202497,3.052516646131052,1.66111,2.21267,"Otto Matic",21657,1960-01-22,2019-05-09
"  4131 Stasik (1988 DR4)",N,N,11.8,29.130,,.1040613890046413,3.164067164420236,2.834809940386689,12.42313405665136,3.493324388453782,1.87229,1.999,"Otto Matic",16073,1975-12-04,2019-12-06
"  4221 Picasso (1988 EJ)",N,N,12.6,10.823,3.1114,.1271871945445644,2.618583739831085,2.285533420281956,17.19031154851844,2.951634059380215,1.30122,2.05322,"Otto Matic",23982,1954-04-02,2019-11-29
"  4265 Kani (1989 TX)",N,N,13.1,14.244,5.7279,.1991460708934877,2.428782728407858,1.945100190991468,4.357511186936965,2.912465265824248,.948288,2.5525,"Otto Matic",28860,1940-11-29,2019-12-05
"  4318 Bata (1980 DE1)",N,N,11.8,25.790,10.571,.1039220133963975,3.223053156253244,2.888106982971793,9.541021979795239,3.557999329534694,1.92331,1.55655,"Otto Matic",22865,1957-04-28,2019-12-04
"  4357 Korinthos (2069 T-2)",N,N,11.8,18.360,6.619,.06880216923439779,3.004534338550425,2.797815858518919,10.506856293149,3.211252818581931,1.7975,1.80102,"Otto Matic",18672,1968-10-23,2019-12-07
"  4631 Yabu (1987 WE1)",N,N,13.3,5.454,7.356,.1238188212841141,2.234195968458283,1.957560457126059,7.413949560782328,2.510831479790507,.981322,2.73095,"Otto Matic",23427,1955-03-22,2019-05-12
"  4942 Munroe (1987 DU6)",N,N,13.5,3.453,,.1359550877919966,2.201517023627696,1.902209583404818,3.833791103065166,2.500824463850575,.885403,2.64442,"Otto Matic",23543,1955-06-23,2019-12-07
"  4949 Akasofu (1988 WE)",N,N,13.4,4.460,2.6798,.1682028820516336,2.272009345971518,1.889850825930862,4.813198070919833,2.654167866012175,.900194,2.80226,"Otto Matic",14958,1978-12-23,2019-12-06
"  5020 Asimov (1981 EX19)",N,N,14.6,3.457,,.2126351155147096,2.154026258177427,1.696004635948153,1.102606195820102,2.612047880406702,.684169,2.73322,"Otto Matic",24099,1953-05-18,2019-05-11
"  5388 Mottola (1981 ED1)",N,N,13.6,,,.1445770591084921,2.684608996960144,2.296476123323447,12.58660451502984,3.07274187059684,1.34284,2.3311,"Otto Matic",14633,1979-11-14,2019-12-07
"  5510 (1988 RF7)",N,N,13.5,4.314,3.2,.2444079367221508,2.190506831375423,1.655129576343179,5.684660023123016,2.725884086407666,.654182,2.68836,"Otto Matic",25489,1949-07-25,2019-05-08
"  5669 (1985 CC2)",N,N,13.6,6.016,,.0338964856415011,2.271433486090234,2.194439873543351,3.75030258235196,2.348427098637116,1.19432,2.61179,"Otto Matic",14043,1980-11-29,2019-05-12
"  5678 DuBridge (1989 TS)",N,N,13.9,5.945,,.27467448366204,2.728747149627521,1.979229935259318,34.09953042148292,3.478264363995724,1.12739,2.39277,"Otto Matic",23955,1953-10-10,2019-05-12
"  5803 Otzi (1984 OA)",N,N,12.6,15.614,3.634,.2154509557861388,2.642573007915615,2.073228127625544,16.60418034699722,3.211917888205686,1.0754,2.19626,"Otto Matic",23870,1954-07-31,2019-12-07
"  5909 Nagoya (1989 UT)",N,N,13.7,,3.784,.1937759070937463,2.242846202106423,1.808236644821487,7.138873308648086,2.677455759391359,.814553,2.75106,"Otto Matic",28156,1942-11-05,2019-12-07
"  5918 (1991 NV3)",N,N,12.9,7.644,,.08493845018989794,2.844037501471639,2.602469363814688,3.213555089596841,3.08560563912859,1.59889,2.28643,"Otto Matic",23977,1953-09-17,2019-05-11
"  6209 Schwaben (1990 TF4)",N,N,14.0,4.712,,.1386842325434851,2.407086152476368,2.073261256754132,1.419681447932177,2.740911048198603,1.0892,2.31984,"Otto Matic",14590,1979-11-14,2019-10-25
"  6301 (1989 BR1)",N,N,12.2,18.020,,.1643397452104293,3.172559508802031,2.65118188746058,.4915280084140203,3.693937130143482,1.63569,1.37348,"Otto Matic",29887,1938-02-07,2019-12-06
"  6383 Tokushima (1988 XU1)",N,N,11.8,14.848,,.05654153783520104,2.997379519131759,2.827903071644314,11.13787668947394,3.166855966619204,1.81414,1.88114,"Otto Matic",23539,1955-06-27,2019-12-07
"  6388 (1989 WL1)",N,N,12.6,7.582,3.870,.1465950211822076,2.591581392920981,2.211668463730315,12.56793730886207,2.971494322111647,1.22203,2.40461,"Otto Matic",25377,1950-06-15,2019-12-07
"  6392 Takashimizuno (1990 HR)",N,N,11.4,25.221,21.81,.134939145480064,3.218240868439,2.783974195702823,17.61133102025148,3.652507541175178,1.82362,1.64959,"Otto Matic",12001,1986-11-06,2019-09-15
